game_id,team,inning,score
2432,0,1,0
2432,1,1,0
2432,0,2,1
2432,1,2,0
2432,0,3,0
2432,1,3,0
2432,0,4,0
2432,1,4,0
2432,0,5,1
2432,1,5,1
2432,0,6,1
2432,1,6,0
2432,0,7,0
2432,1,7,1
2432,0,8,0
2432,1,8,1
2432,0,9,0
2432,1,9,0
2432,0,10,1
2432,1,10,2
2433,0,1,1
2433,1,1,1
2433,0,2,0
2433,1,2,0
2433,0,3,0
2433,1,3,0
2433,0,4,1
2433,1,4,0
2433,0,5,0
2433,1,5,0
2433,0,6,0
2433,1,6,1
2433,0,7,0
2433,1,7,0
2433,0,8,0
2433,1,8,0
2433,0,9,0
2433,1,9,1
2434,0,1,0
2434,1,1,1
2434,0,2,0
2434,1,2,1
2434,0,3,0
2434,1,3,0
2434,0,4,0
2434,1,4,0
2434,0,5,0
2434,1,5,0
2434,0,6,0
2434,1,6,0
2434,0,7,0
2434,1,7,0
2434,0,8,1
2434,1,8,0
2434,0,9,0
2434,1,9,0
2435,0,1,2
2435,1,1,0
2435,0,2,2
2435,1,2,0
2435,0,3,0
2435,1,3,0
2435,0,4,2
2435,1,4,0
2435,0,5,0
2435,1,5,3
2435,0,6,0
2435,1,6,4
2435,0,7,0
2435,1,7,0
2435,0,8,0
2435,1,8,0
2435,0,9,0
2435,1,9,0
2436,0,1,0
2436,1,1,0
2436,0,2,0
2436,1,2,1
2436,0,3,0
2436,1,3,0
2436,0,4,0
2436,1,4,1
2436,0,5,0
2436,1,5,0
2436,0,6,0
2436,1,6,0
2436,0,7,0
2436,1,7,0
2436,0,8,0
2436,1,8,0
2436,0,9,2
2436,1,9,0
2436,0,10,0
2436,1,10,1
2437,0,1,0
2437,1,1,0
2437,0,2,0
2437,1,2,0
2437,0,3,0
2437,1,3,0
2437,0,4,0
2437,1,4,0
2437,0,5,0
2437,1,5,2
2437,0,6,1
2437,1,6,3
2437,0,7,0
2437,1,7,1
2437,0,8,0
2437,1,8,1
2437,0,9,0
2437,1,9,0
2438,0,1,4
2438,1,1,0
2438,0,2,0
2438,1,2,1
2438,0,3,0
2438,1,3,0
2438,0,4,0
2438,1,4,0
2438,0,5,1
2438,1,5,0
2438,0,6,2
2438,1,6,1
2438,0,7,0
2438,1,7,0
2438,0,8,0
2438,1,8,0
2438,0,9,0
2438,1,9,0
2439,0,1,1
2439,1,1,2
2439,0,2,0
2439,1,2,0
2439,0,3,0
2439,1,3,0
2439,0,4,0
2439,1,4,0
2439,0,5,0
2439,1,5,0
2439,0,6,2
2439,1,6,0
2439,0,7,0
2439,1,7,0
2439,0,8,0
2439,1,8,0
2439,0,9,0
2439,1,9,0
2440,0,1,1
2440,1,1,1
2440,0,2,0
2440,1,2,0
2440,0,3,0
2440,1,3,0
2440,0,4,0
2440,1,4,0
2440,0,5,0
2440,1,5,1
2440,0,6,0
2440,1,6,0
2440,0,7,2
2440,1,7,1
2440,0,8,0
2440,1,8,0
2440,0,9,0
2440,1,9,0
2440,0,10,0
2440,1,10,0
2440,0,11,0
2440,1,11,0
2440,0,12,0
2440,1,12,0
2440,0,13,0
2440,1,13,0
2440,0,14,0
2440,1,14,0
2440,0,15,0
2440,1,15,0
2440,0,16,0
2440,1,16,0
2440,0,17,3
2440,1,17,0
2441,0,1,0
2441,1,1,0
2441,0,2,1
2441,1,2,0
2441,0,3,0
2441,1,3,1
2441,0,4,0
2441,1,4,0
2441,0,5,0
2441,1,5,1
2441,0,6,0
2441,1,6,1
2441,0,7,0
2441,1,7,1
2441,0,8,0
2441,1,8,0
2441,0,9,0
2441,1,9,0
2442,0,1,0
2442,1,1,0
2442,0,2,0
2442,1,2,0
2442,0,3,0
2442,1,3,1
2442,0,4,0
2442,1,4,4
2442,0,5,3
2442,1,5,0
2442,0,6,0
2442,1,6,3
2442,0,7,0
2442,1,7,0
2442,0,8,8
2442,1,8,0
2442,0,9,1
2442,1,9,0
2443,0,1,0
2443,1,1,0
2443,0,2,0
2443,1,2,0
2443,0,3,0
2443,1,3,0
2443,0,4,1
2443,1,4,0
2443,0,5,0
2443,1,5,1
2443,0,6,0
2443,1,6,0
2443,0,7,0
2443,1,7,0
2443,0,8,0
2443,1,8,1
2443,0,9,9
2443,1,9,0
2444,0,1,0
2444,1,1,2
2444,0,2,0
2444,1,2,0
2444,0,3,0
2444,1,3,0
2444,0,4,0
2444,1,4,1
2444,0,5,1
2444,1,5,0
2444,0,6,0
2444,1,6,0
2444,0,7,0
2444,1,7,5
2444,0,8,2
2444,1,8,0
2444,0,9,2
2444,1,9,0
2445,0,1,0
2445,1,1,0
2445,0,2,0
2445,1,2,0
2445,0,3,0
2445,1,3,0
2445,0,4,0
2445,1,4,0
2445,0,5,0
2445,1,5,0
2445,0,6,0
2445,1,6,0
2445,0,7,0
2445,1,7,0
2445,0,8,1
2445,1,8,0
2445,0,9,1
2445,1,9,0
2446,0,1,0
2446,1,1,0
2446,0,2,0
2446,1,2,0
2446,0,3,0
2446,1,3,0
2446,0,4,0
2446,1,4,0
2446,0,5,0
2446,1,5,1
2446,0,6,0
2446,1,6,0
2446,0,7,0
2446,1,7,0
2446,0,8,0
2446,1,8,0
2446,0,9,0
2446,1,9,0
2447,0,1,0
2447,1,1,3
2447,0,2,0
2447,1,2,0
2447,0,3,0
2447,1,3,1
2447,0,4,0
2447,1,4,0
2447,0,5,0
2447,1,5,0
2447,0,6,0
2447,1,6,1
2447,0,7,0
2447,1,7,0
2447,0,8,0
2447,1,8,0
2447,0,9,0
2447,1,9,0
2448,0,1,0
2448,1,1,0
2448,0,2,0
2448,1,2,0
2448,0,3,2
2448,1,3,0
2448,0,4,0
2448,1,4,0
2448,0,5,1
2448,1,5,0
2448,0,6,2
2448,1,6,2
2448,0,7,0
2448,1,7,0
2448,0,8,0
2448,1,8,0
2448,0,9,0
2448,1,9,0
2449,0,1,0
2449,1,1,0
2449,0,2,2
2449,1,2,0
2449,0,3,0
2449,1,3,4
2449,0,4,0
2449,1,4,0
2449,0,5,0
2449,1,5,1
2449,0,6,0
2449,1,6,0
2449,0,7,0
2449,1,7,1
2449,0,8,0
2449,1,8,0
2449,0,9,0
2449,1,9,0
2450,0,1,2
2450,1,1,0
2450,0,2,0
2450,1,2,0
2450,0,3,1
2450,1,3,0
2450,0,4,0
2450,1,4,0
2450,0,5,1
2450,1,5,1
2450,0,6,2
2450,1,6,2
2450,0,7,0
2450,1,7,1
2450,0,8,0
2450,1,8,0
2450,0,9,1
2450,1,9,0
2451,0,1,0
2451,1,1,1
2451,0,2,0
2451,1,2,0
2451,0,3,0
2451,1,3,0
2451,0,4,1
2451,1,4,0
2451,0,5,2
2451,1,5,1
2451,0,6,3
2451,1,6,1
2451,0,7,2
2451,1,7,0
2451,0,8,0
2451,1,8,0
2451,0,9,0
2451,1,9,0
2452,0,1,0
2452,1,1,0
2452,0,2,0
2452,1,2,0
2452,0,3,0
2452,1,3,0
2452,0,4,0
2452,1,4,0
2452,0,5,0
2452,1,5,0
2452,0,6,3
2452,1,6,1
2452,0,7,0
2452,1,7,0
2452,0,8,0
2452,1,8,0
2452,0,9,0
2452,1,9,0
2453,0,1,0
2453,1,1,0
2453,0,2,0
2453,1,2,0
2453,0,3,0
2453,1,3,0
2453,0,4,0
2453,1,4,0
2453,0,5,0
2453,1,5,3
2453,0,6,0
2453,1,6,0
2453,0,7,1
2453,1,7,0
2453,0,8,0
2453,1,8,0
2453,0,9,2
2453,1,9,0
2453,0,10,2
2453,1,10,0
2454,0,1,0
2454,1,1,0
2454,0,2,2
2454,1,2,0
2454,0,3,0
2454,1,3,1
2454,0,4,0
2454,1,4,0
2454,0,5,0
2454,1,5,0
2454,0,6,0
2454,1,6,0
2454,0,7,0
2454,1,7,0
2454,0,8,0
2454,1,8,0
2454,0,9,0
2454,1,9,0
2455,0,1,0
2455,1,1,0
2455,0,2,0
2455,1,2,0
2455,0,3,0
2455,1,3,0
2455,0,4,0
2455,1,4,0
2455,0,5,0
2455,1,5,0
2455,0,6,0
2455,1,6,1
2455,0,7,1
2455,1,7,2
2455,0,8,0
2455,1,8,0
2455,0,9,0
2455,1,9,0
2456,0,1,0
2456,1,1,0
2456,0,2,0
2456,1,2,0
2456,0,3,0
2456,1,3,0
2456,0,4,1
2456,1,4,0
2456,0,5,0
2456,1,5,0
2456,0,6,2
2456,1,6,0
2456,0,7,4
2456,1,7,1
2456,0,8,0
2456,1,8,0
2456,0,9,0
2456,1,9,0
2457,0,1,0
2457,1,1,0
2457,0,2,0
2457,1,2,2
2457,0,3,0
2457,1,3,3
2457,0,4,1
2457,1,4,1
2457,0,5,1
2457,1,5,0
2457,0,6,1
2457,1,6,3
2457,0,7,0
2457,1,7,0
2457,0,8,0
2457,1,8,0
2457,0,9,2
2457,1,9,0
2458,0,1,0
2458,1,1,1
2458,0,2,1
2458,1,2,0
2458,0,3,0
2458,1,3,2
2458,0,4,0
2458,1,4,0
2458,0,5,1
2458,1,5,3
2458,0,6,0
2458,1,6,0
2458,0,7,0
2458,1,7,0
2458,0,8,0
2458,1,8,0
2458,0,9,0
2458,1,9,0
2459,0,1,1
2459,1,1,1
2459,0,2,0
2459,1,2,0
2459,0,3,0
2459,1,3,0
2459,0,4,0
2459,1,4,0
2459,0,5,0
2459,1,5,0
2459,0,6,0
2459,1,6,0
2459,0,7,1
2459,1,7,0
2459,0,8,0
2459,1,8,0
2459,0,9,0
2459,1,9,0
2460,0,1,0
2460,1,1,2
2460,0,2,0
2460,1,2,0
2460,0,3,2
2460,1,3,4
2460,0,4,0
2460,1,4,0
2460,0,5,1
2460,1,5,0
2460,0,6,0
2460,1,6,0
2460,0,7,0
2460,1,7,0
2460,0,8,0
2460,1,8,0
2460,0,9,2
2460,1,9,0
2461,0,1,3
2461,1,1,1
2461,0,2,1
2461,1,2,1
2461,0,3,0
2461,1,3,0
2461,0,4,1
2461,1,4,0
2461,0,5,0
2461,1,5,1
2461,0,6,0
2461,1,6,0
2461,0,7,3
2461,1,7,1
2461,0,8,0
2461,1,8,0
2461,0,9,0
2461,1,9,4
2461,0,10,0
2461,1,10,1
2462,0,1,0
2462,1,1,1
2462,0,2,1
2462,1,2,0
2462,0,3,0
2462,1,3,0
2462,0,4,0
2462,1,4,3
2462,0,5,0
2462,1,5,0
2462,0,6,1
2462,1,6,1
2462,0,7,1
2462,1,7,0
2462,0,8,0
2462,1,8,0
2462,0,9,0
2462,1,9,0
2463,0,1,2
2463,1,1,4
2463,0,2,0
2463,1,2,0
2463,0,3,0
2463,1,3,1
2463,0,4,0
2463,1,4,1
2463,0,5,3
2463,1,5,0
2463,0,6,0
2463,1,6,1
2463,0,7,0
2463,1,7,0
2463,0,8,0
2463,1,8,1
2463,0,9,0
2463,1,9,0
2464,0,1,0
2464,1,1,0
2464,0,2,0
2464,1,2,1
2464,0,3,3
2464,1,3,4
2464,0,4,1
2464,1,4,2
2464,0,5,0
2464,1,5,0
2464,0,6,0
2464,1,6,2
2464,0,7,0
2464,1,7,0
2464,0,8,1
2464,1,8,1
2464,0,9,2
2464,1,9,0
2465,0,1,0
2465,1,1,0
2465,0,2,2
2465,1,2,0
2465,0,3,0
2465,1,3,0
2465,0,4,1
2465,1,4,0
2465,0,5,1
2465,1,5,1
2465,0,6,0
2465,1,6,0
2465,0,7,0
2465,1,7,3
2465,0,8,2
2465,1,8,0
2465,0,9,0
2465,1,9,0
2466,0,1,0
2466,1,1,0
2466,0,2,0
2466,1,2,1
2466,0,3,0
2466,1,3,1
2466,0,4,0
2466,1,4,0
2466,0,5,0
2466,1,5,0
2466,0,6,1
2466,1,6,0
2466,0,7,0
2466,1,7,0
2466,0,8,0
2466,1,8,2
2466,0,9,0
2466,1,9,0
2467,0,1,0
2467,1,1,1
2467,0,2,1
2467,1,2,0
2467,0,3,3
2467,1,3,0
2467,0,4,0
2467,1,4,0
2467,0,5,0
2467,1,5,2
2467,0,6,0
2467,1,6,0
2467,0,7,0
2467,1,7,2
2467,0,8,0
2467,1,8,3
2467,0,9,2
2467,1,9,0
2468,0,1,0
2468,1,1,0
2468,0,2,1
2468,1,2,0
2468,0,3,2
2468,1,3,3
2468,0,4,0
2468,1,4,0
2468,0,5,4
2468,1,5,0
2468,0,6,0
2468,1,6,0
2468,0,7,0
2468,1,7,0
2468,0,8,1
2468,1,8,0
2468,0,9,0
2468,1,9,0
2469,0,1,0
2469,1,1,1
2469,0,2,0
2469,1,2,0
2469,0,3,0
2469,1,3,0
2469,0,4,0
2469,1,4,0
2469,0,5,0
2469,1,5,0
2469,0,6,0
2469,1,6,3
2469,0,7,0
2469,1,7,0
2469,0,8,3
2469,1,8,0
2469,0,9,1
2469,1,9,0
2469,0,10,2
2469,1,10,0
2470,0,1,2
2470,1,1,0
2470,0,2,1
2470,1,2,2
2470,0,3,0
2470,1,3,2
2470,0,4,0
2470,1,4,0
2470,0,5,0
2470,1,5,0
2470,0,6,0
2470,1,6,4
2470,0,7,1
2470,1,7,0
2470,0,8,0
2470,1,8,1
2470,0,9,0
2470,1,9,0
2471,0,1,1
2471,1,1,0
2471,0,2,0
2471,1,2,0
2471,0,3,4
2471,1,3,0
2471,0,4,0
