game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
53,100,8,9,37323,"2018-4-13",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,100,21,7,37303,"2018-4-13",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,100,11,10,32121,"2018-4-13",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,2,3,27264,"2018-4-13",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,100,1,13,33110,"2018-4-13",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,100,19,4,32708,"2018-4-13",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,100,29,15,34771,"2018-4-13",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,100,17,30,25055,"2018-4-13",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,100,25,20,33094,"2018-4-13",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,100,24,26,24540,"2018-4-13",1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,100,18,16,24877,"2018-4-13",1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,100,22,28,32477,"2018-4-13",1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,100,23,27,42678,"2018-4-13",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,100,12,14,40534,"2018-4-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,100,5,6,37070,"2018-4-14",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,100,8,9,37343,"2018-4-14",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,100,21,7,37387,"2018-4-14",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,100,11,10,32182,"2018-4-14",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,100,2,3,27223,"2018-4-14",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,100,1,13,33337,"2018-4-14",1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,100,19,4,32370,"2018-4-14",1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,100,29,15,34932,"2018-4-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,100,17,30,25183,"2018-4-14",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,100,25,20,33345,"2018-4-14",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,100,24,26,24529,"2018-4-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,100,18,16,24962,"2018-4-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,100,22,28,32334,"2018-4-14",1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,100,23,27,42857,"2018-4-14",1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,100,12,14,40443,"2018-4-15",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,100,5,6,37397,"2018-4-15",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,100,8,9,37157,"2018-4-15",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,100,21,7,37211,"2018-4-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,100,11,10,32320,"2018-4-15",1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,100,2,3,27388,"2018-4-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,100,1,13,33245,"2018-4-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,100,19,4,32582,"2018-4-15",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,100,29,15,34816,"2018-4-15",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,17,30,25172,"2018-4-15",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,100,25,20,33382,"2018-4-15",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,100,24,26,24708,"2018-4-15",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,100,18,16,24987,"2018-4-15",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,100,22,28,32494,"2018-4-15",1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,100,23,27,42748,"2018-4-15",1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,100,8,9,37256,"2018-4-16",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,100,7,13,25859,"2018-4-16",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,100,14,2,31082,"2018-4-16",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,10,21,38457,"2018-4-16",1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,30,15,38551,"2018-4-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,100,29,22,34921,"2018-4-16",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
