team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
2,2004,100,0,0,1,0,6312,5684,1546,928,2419,1047,301,22,176,107,50,759,782,487,41,64,30,46,1,146,162,1458,499,0,0.2720,0.3339,0.4256,797.2573,4.8812,0.1536,0.0000,0.7594,68.1529,0.0000
2,2005,100,0,0,1,0,6159,5646,1497,896,2289,1037,286,16,158,82,40,691,707,401,28,49,25,38,0,167,162,1458,460,0,0.2651,0.3174,0.4054,698.9720,4.2707,0.1403,0.0000,0.7228,67.2131,0.0000
2,2006,100,0,0,1,0,6323,5715,1564,879,2409,1065,310,32,157,107,38,745,770,457,31,66,35,50,0,145,162,1458,499,0,0.2737,0.3319,0.4215,793.9888,4.8513,0.1479,0.0000,0.7534,73.7931,0.0000
2,2007,100,0,0,1,0,6417,5788,1635,1003,2516,1116,324,28,167,146,35,823,854,478,58,56,33,60,2,141,162,1458,519,0,0.2825,0.3399,0.4347,858.7267,5.2432,0.1522,0.0000,0.7746,80.6630,0.0000
2,2008,100,0,0,1,0,6340,5735,1553,984,2406,1037,335,25,156,115,38,741,779,503,54,52,18,31,1,137,161,1449,516,0,0.2708,0.3335,0.4195,799.4063,4.8988,0.1487,0.0000,0.7530,75.1634,0.0000
2,2009,100,0,0,1,0,6243,5661,1481,1142,2301,1004,294,23,160,70,30,657,681,487,23,53,11,30,1,147,162,1458,477,0,0.2616,0.3243,0.4065,736.5188,4.5216,0.1449,0.0000,0.7308,70.0000,0.0000
2,2010,100,0,0,1,0,6209,5688,1458,1098,2224,1034,244,18,162,80,30,679,700,425,24,38,11,45,2,133,162,1458,424,0,0.2563,0.3100,0.3910,682.2581,4.1405,0.1347,0.0000,0.7010,72.7273,0.0000
2,2011,100,0,0,1,0,6104,5587,1375,1188,2178,927,261,19,168,27,9,631,655,398,30,56,25,38,0,127,162,1458,448,0,0.2461,0.3009,0.3898,647.6446,3.9643,0.1437,0.0000,0.6907,75.0000,0.0000
2,2012,100,0,0,1,0,6238,5675,1389,1375,2344,884,271,18,216,34,16,664,693,483,36,45,9,26,0,123,162,1458,505,0,0.2448,0.3078,0.4130,714.7913,4.3272,0.1683,0.0000,0.7208,68.0000,0.0000
2,2013,100,0,0,1,0,6244,5684,1483,1237,2429,976,279,17,211,39,19,734,747,445,45,53,10,50,2,137,162,1458,507,0,0.2609,0.3179,0.4273,759.6643,4.6436,0.1664,0.0000,0.7452,67.2414,0.0000
2,2014,100,0,0,1,0,6310,5774,1572,1261,2572,1056,268,12,236,24,8,716,734,423,38,68,11,34,0,175,162,1458,516,0,0.2723,0.3275,0.4454,812.0825,4.9495,0.1732,0.0000,0.7730,75.0000,0.0000
2,2015,100,0,0,1,0,6215,5687,1449,1381,2425,933,274,24,218,21,10,691,710,435,42,55,11,27,0,136,162,1458,516,0,0.2548,0.3125,0.4264,742.0568,4.5309,0.1716,0.0000,0.7390,67.7419,0.0000
2,2016,100,0,0,1,0,6167,5620,1445,1413,2457,939,246,14,246,15,6,740,761,456,32,44,14,32,1,164,162,1458,506,0,0.2571,0.3162,0.4372,751.4531,4.6206,0.1801,0.0000,0.7533,71.4286,0.0000
2,2017,100,0,0,1,0,6186,5642,1491,1409,2586,948,262,10,271,32,12,766,785,455,31,48,13,28,0,162,162,1458,543,0,0.2643,0.3230,0.4583,808.1082,4.9975,0.1941,0.0000,0.7814,72.7273,0.0000
3,2000,100,0,0,1,0,6379,5676,1559,949,2461,1007,357,40,155,39,23,812,842,568,56,47,31,56,1,157,162,1458,552,0,0.2747,0.3425,0.4336,835.3228,5.1446,0.1589,0.0000,0.7761,62.9032,0.0000
3,2001,100,0,0,1,0,6335,5720,1537,1076,2491,992,328,25,192,31,18,740,773,487,48,69,17,42,0,161,161,1449,545,0,0.2687,0.3313,0.4355,806.6536,4.9264,0.1668,0.0000,0.7668,63.2653,0.0000
3,2002,100,0,0,1,0,6344,5657,1537,991,2529,966,342,37,192,83,28,836,868,538,58,76,16,55,2,132,162,1458,571,0,0.2717,0.3400,0.4471,864.4745,5.3645,0.1754,0.0000,0.7871,74.7748,0.0000
