player_id,league_id,streak_id,value,has_ended,started,ended
221,100,0,5,1,"2000-4-23","2000-5-13"
221,100,1,1,1,"2000-6-14","2000-8-30"
236,100,0,11,1,"2000-6-22","2000-7-5"
236,100,1,7,1,"2001-4-6","2001-4-15"
236,100,2,1,1,"2001-8-4","2001-8-5"
236,100,3,2,1,"2001-10-2","2001-10-6"
236,100,0,2,0,"2002-5-19",NULL
237,100,0,5,1,"2000-8-8","2000-9-8"
237,100,2,2,1,"2000-8-19","2000-9-1"
237,100,1,2,1,"2000-8-19","2000-9-1"
237,100,7,6,1,"2001-5-12","2001-7-6"
237,100,3,2,1,"2001-5-17","2001-5-27"
237,100,5,3,1,"2001-8-14","2001-9-8"
237,100,6,8,1,"2004-5-21","2004-8-21"
237,100,4,3,0,"2005-6-11",NULL
237,100,5,4,0,"2005-7-9",NULL
245,100,0,15,1,"2005-7-24","2005-8-12"
245,100,3,6,1,"2006-4-19","2006-4-25"
245,100,1,7,1,"2007-4-13","2007-4-22"
245,100,2,3,1,"2009-9-17","2009-9-20"
245,100,0,3,0,"2010-7-24",NULL
251,100,0,4,1,"2000-7-21","2000-8-13"
251,100,3,3,1,"2000-7-21","2000-8-7"
251,100,5,4,1,"2000-9-21","2001-4-27"
251,100,6,7,1,"2001-9-8","2002-5-4"
251,100,7,9,1,"2002-6-22","2002-8-8"
251,100,1,1,1,"2002-6-27","2002-7-7"
251,100,5,2,0,"2005-5-8",NULL
257,100,6,2,1,"2001-7-1","2001-8-11"
257,100,5,7,1,"2001-8-11","2002-6-23"
257,100,4,8,1,"2001-8-18","2002-7-28"
257,100,6,2,0,"2002-6-23",NULL
257,100,0,1,1,"2005-9-3","2005-9-26"
258,100,3,6,1,"2002-9-4","2002-9-10"
258,100,0,11,1,"2003-5-22","2003-6-6"
258,100,1,7,1,"2003-6-4","2003-6-12"
258,100,2,2,1,"2006-7-18","2006-7-21"
269,100,7,1,1,"2000-6-7","2000-6-13"
269,100,6,1,0,"2000-6-13",NULL
283,100,0,7,1,"2000-9-22","2001-4-11"
283,100,2,3,1,"2000-9-24","2000-9-27"
283,100,3,4,1,"2000-9-24","2000-9-29"
283,100,1,3,1,"2000-9-24","2000-9-27"
294,100,5,4,1,"2000-6-4","2000-8-1"
294,100,7,9,1,"2000-6-4","2000-8-1"
294,100,6,4,1,"2000-9-3","2000-9-27"
294,100,4,4,1,"2001-4-2","2004-9-14"
294,100,7,2,0,"2001-5-5",NULL
294,100,5,6,0,"2001-5-13",NULL
294,100,0,14,1,"2007-8-23","2007-9-9"
294,100,1,10,1,"2007-8-28","2007-9-7"
294,100,3,5,1,"2007-9-19","2007-9-24"
294,100,2,2,1,"2009-9-15","2009-9-18"
305,100,3,1,1,"2001-9-25","2001-9-30"
305,100,5,4,1,"2002-6-6","2002-7-12"
305,100,7,6,1,"2002-6-6","2002-7-12"
305,100,0,1,1,"2002-6-17","2002-6-23"
305,100,1,2,1,"2002-6-17","2003-6-6"
305,100,6,9,1,"2003-4-9","2003-7-3"
305,100,7,2,0,"2004-4-17",NULL
305,100,6,1,0,"2004-5-12",NULL
321,100,1,3,1,"2005-8-27","2005-8-30"
321,100,2,2,1,"2006-5-20","2006-5-24"
321,100,0,5,1,"2006-8-14","2006-9-3"
321,100,3,3,1,"2006-8-24","2006-9-2"
321,100,0,1,0,"2008-9-26",NULL
321,100,2,1,0,"2008-9-26",NULL
321,100,3,1,0,"2008-9-26",NULL
321,100,1,1,0,"2008-9-26",NULL
324,100,0,6,1,"2000-7-18","2000-8-2"
324,100,1,2,1,"2000-7-19","2000-7-23"
324,100,3,3,1,"2000-7-23","2000-8-2"
324,100,2,1,1,"2001-6-7","2001-6-8"
332,100,6,6,1,"2001-6-7","2001-7-8"
332,100,5,6,1,"2002-8-7","2003-3-31"
332,100,7,7,1,"2002-8-22","2003-3-31"
332,100,1,2,1,"2006-5-25","2006-6-4"
332,100,2,1,1,"2006-5-30","2006-6-4"
332,100,0,2,1,"2006-9-13","2006-9-24"
332,100,3,1,1,"2006-9-13","2006-9-18"
332,100,6,1,0,"2008-7-1",NULL
346,100,5,1,1,"2000-4-13","2000-8-15"
346,100,6,1,0,"2000-8-15",NULL
346,100,7,3,0,"2000-8-29",NULL
346,100,0,1,1,"2000-9-5","2000-9-13"
354,100,6,5,1,"2000-4-20","2000-6-13"
354,100,5,4,1,"2000-8-5","2000-8-26"
354,100,7,5,1,"2001-7-1","2001-7-31"
354,100,4,6,0,"2001-10-3",NULL
354,100,0,1,1,"2002-6-17","2002-6-23"
354,100,7,4,0,"2002-6-23",NULL
354,100,5,2,0,"2002-9-28",NULL
355,100,4,3,0,"2002-4-9",NULL
355,100,5,8,1,"2004-8-21","2005-4-24"
355,100,7,12,1,"2004-8-21","2005-4-24"
355,100,0,4,1,"2010-4-8","2010-4-29"
355,100,2,1,1,"2010-9-30","2011-4-3"
355,100,3,2,1,"2011-5-1","2011-5-13"
355,100,6,8,1,"2014-4-9","2014-6-15"
355,100,1,1,1,"2014-5-30","2014-6-5"
355,100,7,3,0,"2014-6-5",NULL
355,100,5,1,0,"2014-6-15",NULL
366,100,5,5,1,"2000-7-23","2000-9-3"
366,100,7,8,1,"2000-7-23","2000-9-3"
366,100,4,2,0,"2001-7-17",NULL
366,100,1,1,1,"2002-5-3","2002-5-14"
366,100,0,2,1,"2002-7-28","2002-8-7"
366,100,3,1,1,"2002-7-28","2002-8-2"
366,100,6,4,1,"2003-6-7","2004-7-28"
366,100,7,2,0,"2003-8-8",NULL
366,100,5,1,0,"2004-7-28",NULL
375,100,1,2,1,"2000-4-3","2000-4-14"
375,100,0,2,1,"2000-7-23","2000-8-6"
375,100,5,3,1,"2002-4-5","2002-5-3"
375,100,7,5,1,"2002-4-5","2002-5-3"
375,100,6,12,1,"2002-8-23","2003-5-28"
375,100,3,1,1,"2006-8-15","2006-8-20"
